NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	0.83639294	2.7833538	0.0	0.0	0.0	2226	tags=78%, list=10%, signal=85%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	0.82249683	2.7147703	0.0	0.0	0.0	2557	tags=76%, list=11%, signal=84%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	0.76904297	2.5535185	0.0	0.0	0.0	2696	tags=65%, list=12%, signal=73%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	198	0.73800206	2.4316843	0.0	0.0	0.0	2824	tags=64%, list=12%, signal=72%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	0.82730025	2.338606	0.0	0.0	0.0	2965	tags=84%, list=13%, signal=97%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	199	0.6779455	2.2618115	0.0	0.0	0.0	2670	tags=57%, list=12%, signal=64%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	149	0.5779217	1.8614666	0.0	9.3877556E-5	0.001	3697	tags=50%, list=16%, signal=59%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	145	0.57759774	1.8596036	0.0	8.2142855E-5	0.001	2809	tags=36%, list=12%, signal=41%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	112	0.58026254	1.8215866	0.0	2.2846903E-4	0.003	3511	tags=51%, list=15%, signal=60%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	101	0.54596764	1.6704919	0.0	0.0014174721	0.021	2666	tags=30%, list=12%, signal=33%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	196	0.5021391	1.6639289	0.0	0.0014117121	0.023	3456	tags=37%, list=15%, signal=43%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	22	0.65704197	1.560958	0.0151770655	0.0054211896	0.094	1715	tags=32%, list=7%, signal=34%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	194	0.45871586	1.5126817	0.0013774105	0.0088613285	0.162	2781	tags=32%, list=12%, signal=37%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	73	0.4978139	1.4560506	0.0121951215	0.014928261	0.278	1875	tags=38%, list=8%, signal=42%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	96	0.4546485	1.3864946	0.017295597	0.03167844	0.503	3243	tags=29%, list=14%, signal=34%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	167	0.40393656	1.3162289	0.031855956	0.05971547	0.764	3408	tags=29%, list=15%, signal=33%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	47	0.450931	1.2520297	0.117741935	0.10489371	0.939	3812	tags=47%, list=16%, signal=56%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	199	0.3383596	1.1177244	0.20310296	0.28886423	1.0	3332	tags=31%, list=14%, signal=36%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	101	0.32288104	0.99637204	0.47560975	0.5632339	1.0	3615	tags=30%, list=16%, signal=35%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	96	0.30610502	0.93703467	0.6047548	0.69956857	1.0	3648	tags=30%, list=16%, signal=36%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		31	0.35360014	0.9126731	0.5910653	0.73117185	1.0	2873	tags=26%, list=12%, signal=29%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		92	0.2923568	0.88704956	0.6741405	0.7625619	1.0	4444	tags=30%, list=19%, signal=38%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		38	0.2580358	0.6847161	0.9464286	0.99000216	1.0	4101	tags=26%, list=18%, signal=32%	
